epoch,accuracy,loss,top-10-accuracy,top-100-accuracy,top-5-accuracy,val_accuracy,val_loss,val_top-10-accuracy,val_top-100-accuracy,val_top-5-accuracy
0,0.4138220548629761,3.459622383117676,0.6451056599617004,0.8325901627540588,0.5807594060897827,0.2665856182575226,4.08283805847168,0.5522171258926392,0.8228767514228821,0.463314950466156
1,0.7701468467712402,1.0905444622039795,0.9237401485443115,0.9826785326004028,0.8921608328819275,0.13179370760917664,5.734828472137451,0.33746036887168884,0.6336524486541748,0.2653124928474426
2,0.8559483289718628,0.6591722369194031,0.9596081972122192,0.9916529655456543,0.9405443072319031,0.22470623254776,4.683631420135498,0.48674678802490234,0.7623715996742249,0.40333813428878784
3,0.8961849212646484,0.4648108184337616,0.9742059111595154,0.9950001835823059,0.9611847400665283,0.6858378052711487,1.4819695949554443,0.8842921853065491,0.968999445438385,0.8399302363395691
4,0.9204357266426086,0.3497573137283325,0.9821515679359436,0.9967687726020813,0.972557544708252,0.6384584903717041,1.7091064453125,0.8638395071029663,0.9672425389289856,0.8123480081558228
5,0.93668532371521,0.27348193526268005,0.987311601638794,0.9978141188621521,0.9799618124961853,0.31864362955093384,3.974771499633789,0.5935872793197632,0.833220899105072,0.512941300868988
6,0.9484050869941711,0.2190009206533432,0.9906047582626343,0.9985083341598511,0.9850221276283264,0.6535450220108032,1.6165614128112793,0.8749092817306519,0.9699161052703857,0.8258113265037537
7,0.9571475386619568,0.1787615567445755,0.9931343793869019,0.998978316783905,0.9885641932487488,0.3421581983566284,4.091464519500732,0.6168472170829773,0.8415789008140564,0.5380600094795227
8,0.9637903571128845,0.14723646640777588,0.9948703646659851,0.9993128776550293,0.9913424253463745,0.8431767225265503,0.6277168989181519,0.9693304896354675,0.9960087537765503,0.948336660861969
9,0.9691686034202576,0.12299207597970963,0.9961923360824585,0.9995529651641846,0.993332028388977,0.6253708004951477,1.9530830383300781,0.8546921014785767,0.962824821472168,0.8017874360084534
10,0.9733536243438721,0.10399362444877625,0.9971662759780884,0.9997061491012573,0.9948484897613525,0.5455396175384521,2.521723508834839,0.7958292365074158,0.9332183003425598,0.7346366047859192
11,0.9767560362815857,0.08859532326459885,0.9978880286216736,0.9998037219047546,0.9959847331047058,0.6474403738975525,1.7974672317504883,0.8753485083580017,0.9719212651252747,0.8252829313278198
12,0.9797269701957703,0.07634332776069641,0.9984362125396729,0.9998737573623657,0.9969056248664856,0.6366570591926575,1.996640920639038,0.8553605079650879,0.9572421312332153,0.8065171241760254
13,0.98207026720047,0.06605086475610733,0.9988577365875244,0.9999282360076904,0.9975839257240295,0.5737774968147278,2.4477920532226562,0.8289622664451599,0.9573439955711365,0.7682725191116333
14,0.9838289022445679,0.058694154024124146,0.9990992546081543,0.9999515414237976,0.9980453848838806,0.5518670082092285,2.684643030166626,0.8044865131378174,0.9398640394210815,0.7421925663948059
15,0.985481858253479,0.051964111626148224,0.999335527420044,0.999967098236084,0.9984849691390991,0.9513285160064697,0.17433515191078186,0.9960851669311523,0.9997326731681824,0.9914382696151733
16,0.9869229197502136,0.04642968997359276,0.999498188495636,0.9999851584434509,0.9987537860870361,0.7159407734870911,1.5162001848220825,0.9089462161064148,0.9815842509269714,0.8681935667991638
17,0.9879240989685059,0.042045194655656815,0.9996127486228943,0.9999865889549255,0.9989892840385437,0.05887557938694954,11.40174674987793,0.1789119839668274,0.4038028120994568,0.13342329859733582
18,0.9889606237411499,0.038581572473049164,0.9996923208236694,0.9999901056289673,0.9991279244422913,0.9590309262275696,0.14463520050048828,0.9972627758979797,0.9998599290847778,0.9937553405761719
19,0.9897188544273376,0.035571422427892685,0.9997563362121582,0.9999943375587463,0.9992662072181702,0.4660967290401459,3.953397274017334,0.7291430830955505,0.9039492011070251,0.6597642302513123
20,0.9906425476074219,0.03229878470301628,0.9998044371604919,0.999995768070221,0.9994094371795654,0.5336931943893433,3.2001419067382812,0.7886742949485779,0.9361592531204224,0.7238978147506714
21,0.9911872148513794,0.030122587457299232,0.999830961227417,0.9999968409538269,0.9994815587997437,0.6289418935775757,2.2049784660339355,0.856461763381958,0.9634550213813782,0.8050912022590637
22,0.991595983505249,0.028605034574866295,0.9998401403427124,0.9999968409538269,0.9995052814483643,0.10778260231018066,10.377667427062988,0.23373903334140778,0.41141608357429504,0.19105757772922516
23,0.9922534227371216,0.026456015184521675,0.9998606443405151,0.9999978542327881,0.9995865821838379,0.9116643667221069,0.3571114242076874,0.9891466498374939,0.9993061423301697,0.9791844487190247
24,0.9926576614379883,0.024923935532569885,0.9998719692230225,0.9999968409538269,0.9996141791343689,0.4646644592285156,4.011540412902832,0.7334843873977661,0.9099965691566467,0.6635835766792297
