epoch,accuracy,loss,top-10-accuracy,top-100-accuracy,top-5-accuracy,val_accuracy,val_loss,val_top-10-accuracy,val_top-100-accuracy,val_top-5-accuracy
0,0.00022774693206883967,9.031759262084961,0.0021271705627441406,0.019577041268348694,0.0011316618183627725,0.0002928183239419013,9.024567604064941,0.0022661590483039618,0.02068188413977623,0.0012922199675813317
1,0.00025922126951627433,9.027512550354004,0.0022360929287970066,0.02019910141825676,0.0011698553571477532,0.0002673558483365923,9.025495529174805,0.002444396261125803,0.02028721570968628,0.0013622416881844401
2,0.00026912332396022975,9.026887893676758,0.0022520069032907486,0.020199455320835114,0.001208048895932734,0.0002928183239419013,9.023360252380371,0.0023298151791095734,0.02029358223080635,0.0012731230817735195
0,0.20048131048679352,5.048558712005615,0.4175114035606384,0.6500282883644104,0.34939491748809814,0.5050670504570007,2.376189708709717,0.7939895987510681,0.9485276341438293,0.7220644950866699
1,0.6555748581886292,1.617164134979248,0.8759946227073669,0.9702998995780945,0.8276214003562927,0.7688708901405334,1.0422215461730957,0.9325817823410034,0.9861102104187012,0.901899516582489
2,0.8053198456764221,0.8788143396377563,0.945060670375824,0.9884397387504578,0.9192700982093811,0.8585114479064941,0.6203754544258118,0.9667205810546875,0.9940099716186523,0.9491132497787476
3,0.8656342625617981,0.5897801518440247,0.9676828980445862,0.9938586354255676,0.9508809447288513,0.9061708450317383,0.3986385464668274,0.9822081327438354,0.9970527291297913,0.9712910652160645
4,0.8979018330574036,0.43215298652648926,0.979250967502594,0.9964186549186707,0.9672408699989319,0.9293034672737122,0.2906898856163025,0.9887455701828003,0.9981985092163086,0.9814760684967041
5,0.9192463755607605,0.33049795031547546,0.9862602353096008,0.9977954030036926,0.9773848056793213,0.9431359767913818,0.2261134535074234,0.9927495718002319,0.998968780040741,0.9873133301734924
6,0.9332135915756226,0.26224368810653687,0.9906527996063232,0.9987452626228333,0.9839119911193848,0.9574522376060486,0.16237513720989227,0.9959196448326111,0.9994843602180481,0.9921639561653137
7,0.9432096481323242,0.2150155007839203,0.9935590624809265,0.9992382526397705,0.9881868362426758,0.9613416194915771,0.13941004872322083,0.9972118735313416,0.9997771978378296,0.9945383071899414
8,0.9503469467163086,0.1821582019329071,0.9954712390899658,0.9995452165603638,0.9911355376243591,0.9668415188789368,0.11769207566976547,0.9979566335678101,0.9998217821121216,0.9956522583961487
9,0.9557145237922668,0.15808966755867004,0.9966916441917419,0.9997252225875854,0.9931545257568359,0.9683565497398376,0.10720799118280411,0.9984086155891418,0.9999427199363708,0.9964543581008911
10,0.9595784544944763,0.1414763480424881,0.9974795579910278,0.9998323917388916,0.9944371581077576,0.9684329032897949,0.1057014912366867,0.9987968802452087,0.9999363422393799,0.996893584728241
11,0.9625123143196106,0.12901130318641663,0.9980733394622803,0.9999101758003235,0.9954234957695007,0.9704508185386658,0.09718826413154602,0.9990260601043701,0.999955415725708,0.9973455667495728
12,0.9648144841194153,0.1197008267045021,0.9984644651412964,0.9999352693557739,0.99607914686203,0.9756260514259338,0.08105265349149704,0.9992361068725586,0.9999809265136719,0.9978993535041809
13,0.9669589996337891,0.11177464574575424,0.9987452626228333,0.9999625086784363,0.9965975880622864,0.9772429466247559,0.0739838033914566,0.9994843602180481,1.0,0.9985550045967102
14,0.9683887958526611,0.10627088695764542,0.9989320039749146,0.9999773502349854,0.9970357418060303,0.9742829203605652,0.08403295278549194,0.9994143843650818,0.999993622303009,0.9979948401451111
15,0.9698970913887024,0.10172069072723389,0.9990507960319519,0.9999809265136719,0.997258186340332,0.9791144132614136,0.06689238548278809,0.9996817111968994,0.999993622303009,0.9988605380058289
16,0.970859706401825,0.09797735512256622,0.9992032647132874,0.9999848008155823,0.9975358247756958,0.9763517379760742,0.07722969353199005,0.9995289444923401,1.0,0.998414933681488
17,0.9717088341712952,0.09492286294698715,0.9992364645004272,0.9999868869781494,0.9976776242256165,0.9796109199523926,0.06614214181900024,0.9996308088302612,1.0,0.9988669157028198
18,0.9726109504699707,0.09213732928037643,0.9993118047714233,0.99998939037323,0.9978435039520264,0.9791271686553955,0.06831037998199463,0.9996053576469421,1.0,0.9986886978149414
19,0.9731746912002563,0.08985775709152222,0.9993719458580017,0.999994695186615,0.9979679584503174,0.9819725751876831,0.05871998146176338,0.9996435046195984,1.0,0.999000608921051
20,0.974079966545105,0.0876215398311615,0.9993941783905029,0.9999964833259583,0.9980549812316895,0.9805594086647034,0.06199312582612038,0.9996753334999084,1.0,0.998885989189148
21,0.9745981097221375,0.08623812347650528,0.9994295835494995,0.9999943375587463,0.9981398582458496,0.9795345664024353,0.06685975939035416,0.9997135400772095,1.0,0.999000608921051
22,0.9750733971595764,0.08443532139062881,0.9994730949401855,0.999995768070221,0.9982515573501587,0.9820808172225952,0.05811920762062073,0.9997899532318115,1.0,0.9990960955619812
23,0.9755111932754517,0.08339040726423264,0.9994850754737854,0.9999961256980896,0.9982717633247375,0.9812914729118347,0.06176909804344177,0.9996308088302612,1.0,0.9990133047103882
24,0.9759408831596375,0.08227924257516861,0.9995095133781433,0.999995768070221,0.9983392953872681,0.9781659245491028,0.07198178023099899,0.9996435046195984,1.0,0.9987905621528625
