epoch,accuracy,loss,top-10-accuracy,top-100-accuracy,top-5-accuracy,val_accuracy,val_loss,val_top-10-accuracy,val_top-100-accuracy,val_top-5-accuracy
0,0.6285914182662964,2.027228355407715,0.8081285357475281,0.9110998511314392,0.7659822702407837,0.8317567706108093,0.7472724318504333,0.9562618732452393,0.9913172721862793,0.9343132376670837
1,0.8881713151931763,0.5017027258872986,0.9720306396484375,0.9942190051078796,0.9580751061439514,0.9199332594871521,0.34424471855163574,0.9842514395713806,0.9971163868904114,0.9753968715667725
2,0.9321646690368652,0.29573604464530945,0.9858765006065369,0.9973062872886658,0.9781854748725891,0.9267445206642151,0.296390563249588,0.9887647032737732,0.9982813000679016,0.9809668064117432
3,0.9528500437736511,0.19857197999954224,0.9918622970581055,0.9986384510993958,0.9869416952133179,0.9549378156661987,0.1761781871318817,0.9945701360702515,0.9992806911468506,0.9903942942619324
4,0.9649181365966797,0.14256441593170166,0.9950510859489441,0.9992704391479492,0.9917477369308472,0.9762944579124451,0.09616626799106598,0.9975810647010803,0.9997517466545105,0.9956904649734497
5,0.9730042219161987,0.10572247207164764,0.9969586730003357,0.9996251463890076,0.9946147203445435,0.9749640226364136,0.09288258105516434,0.9983322024345398,0.9999108910560608,0.9966135025024414
6,0.978366494178772,0.0811411589384079,0.9981790781021118,0.999824583530426,0.9965413808822632,0.9821699261665344,0.06572844088077545,0.9989942312240601,0.9999363422393799,0.9979884624481201
7,0.982353150844574,0.06393077969551086,0.9988994598388672,0.9999158382415771,0.9976977705955505,0.977262020111084,0.0785435363650322,0.9990833401679993,0.9999681711196899,0.9976447224617004
8,0.9851833581924438,0.051907479763031006,0.999321699142456,0.9999544024467468,0.9984832406044006,0.9859956502914429,0.047996655106544495,0.9996562600135803,0.9999809265136719,0.9988923668861389
9,0.9874891042709351,0.04315900057554245,0.9995682239532471,0.9999784231185913,0.9989514350891113,0.9886946678161621,0.039268575608730316,0.9997517466545105,1.0,0.9993507266044617
10,0.9891753196716309,0.03670226037502289,0.9997323155403137,0.9999939799308777,0.9992495775222778,0.9900887608528137,0.03399477154016495,0.9998854398727417,1.0,0.99946528673172
11,0.9904904961585999,0.031860269606113434,0.999835193157196,0.9999968409538269,0.9994709491729736,0.9908335208892822,0.02975751832127571,0.9999363422393799,1.0,0.9996753334999084
12,0.9915199875831604,0.02820080704987049,0.999870240688324,0.9999978542327881,0.9995622038841248,0.991279125213623,0.028392460197210312,0.9999045133590698,0.999993622303009,0.9996498823165894
13,0.9923205971717834,0.02527148835361004,0.9999045133590698,0.9999985694885254,0.9996637105941772,0.9905916452407837,0.03133005648851395,0.9998854398727417,1.0,0.999509871006012
14,0.9931764602661133,0.0225315373390913,0.9999363422393799,1.0,0.9997482299804688,0.9904133677482605,0.031077587977051735,0.9998981356620789,1.0,0.9995480179786682
15,0.9936333298683167,0.020752938464283943,0.9999469518661499,1.0,0.9997832179069519,0.9898914098739624,0.032882947474718094,0.9999172687530518,1.0,0.9995862245559692
16,0.9942115545272827,0.018827686086297035,0.9999603629112244,0.9999996423721313,0.9998281002044678,0.9954167604446411,0.01581536792218685,0.9999872446060181,1.0,0.9998854398727417
17,0.9946260452270508,0.017421577125787735,0.999967098236084,0.9999996423721313,0.9998472332954407,0.9921830296516418,0.025072647258639336,0.9999490976333618,1.0,0.9997581243515015
18,0.9950397610664368,0.01620982214808464,0.999971330165863,1.0,0.9998606443405151,0.9934242963790894,0.020458756014704704,0.9999745488166809,1.0,0.9998281002044678
19,0.995363712310791,0.015009509399533272,0.9999812841415405,1.0,0.9998878836631775,0.9942263960838318,0.01798354834318161,0.9999872446060181,1.0,0.9998472332954407
20,0.9957587718963623,0.013806607574224472,0.9999802112579346,1.0,0.9999101758003235,0.9952321648597717,0.014800481498241425,0.9999681711196899,1.0,0.999923586845398
21,0.995986819267273,0.013020342215895653,0.9999879598617554,0.9999996423721313,0.9999186396598816,0.9920111298561096,0.025777701288461685,0.9999299645423889,1.0,0.9996626377105713
22,0.9961909055709839,0.012362144887447357,0.9999868869781494,1.0,0.9999186396598816,0.9922084808349609,0.025525862351059914,0.9998536109924316,1.0,0.9995926022529602
23,0.9964115619659424,0.011599472723901272,0.9999822974205017,1.0,0.999928891658783,0.9954867959022522,0.014234502799808979,0.9999872446060181,1.0,0.9999299645423889
24,0.9966113567352295,0.010919161140918732,0.9999915361404419,1.0,0.9999416470527649,0.9912854433059692,0.0281510166823864,0.9999045133590698,1.0,0.9996753334999084
